EventID   Status   Request Time   End Time   Turnaround Time   Pad
 ---------------------------------------------------------------------
   1          D         0           4              4            A 
   2          L         2           6              4            A 
   3          L         6          10              4            A 
   5          L         8          12              4            B 
   4          D         6          14              8            A 
   6          D         8          18             10            A 
   9          L        14          20              6            A 
   10         L        18          22              4            A 
   12         L        20          24              4            A 
   7          A        12          24             12            B 
   8          L        12          26             14            B 
   11         D        18          28             10            A 
   13         L        22          28              6            B 
   15         D        24          32              8            A 
   16         L        26          34              8            A 
   18         L        30          36              6            A 
   20         L        32          38              6            A 
   14         A        24          40             16            B 
   21         L        34          40              6            A 
   17         L        28          42             14            B 
   22         L        36          42              6            A 
   23         L        38          44              6            A 
   24         L        42          46              4            B 
   19         D        32          48             16            A 
   25         L        44          50              6            A 
   26         L        46          50              4            B 
   28         L        48          52              4            B 
   27         D        48          54              6            A 
   29         L        50          56              6            A 
   32         D        54          60              6            A 
   34         L        56          62              6            A 
   35         L        58          64              6            A 
   30         A        52          64             12            B 
   36         L        60          66              6            A 
   31         L        52          66             14            B 
   37         L        62          68              6            A 
   33         L        54          68             14            B 
   39         L        64          70              6            A 
   40         L        66          72              6            A 
   42         L        70          74              4            A 
   43         L        72          76              4            A 
   44         D        74          80              6            A 
   38         A        64          80             16            B 
   47         L        76          82              6            A 
   41         L        68          82             14            B 
   49         E        80          84              4            A 
   50         E        80          84              4            B 
   48         L        78          86              8            A 
   45         L        74          86             12            B 
   51         L        80          88              8            A 
   52         L        82          88              6            B 
   53         L        84          90              6            A 
   54         L        88          90              2            B 
   46         D        76          94             18            A 
   56         L        92          94              2            B 
   55         D        90          98              8            A 
   58         L        96          98              2            B 
   57         L        94         100              6            A 
   59         L        98         102              4            A 
   60         L       100         104              4            A 
   61         D       102         108              6            A 
   63         L       106         108              2            B 
   62         L       104         110              6            A 
   64         L       114         118              4            A 
